67,Housing,Employment,Name
1,5491,13096,Alachua
2,421,1076,Baker
3,2118,7271,Bay
4,449,750,Bradford
5,15718,24972,Brevard
6,45105,119550,Broward
7,123,13,Calhoun
8,7654,5918,Charlotte
9,3203,3327,Citrus
10,6884,9085,Clay
11,16215,25793,Collier
12,1057,1978,Columbia
13,72378,156126,Miami-Dade
14,402,841,De Soto
15,51,277,Dixie
16,30481,70954,Duval
17,6870,16030,Escambia
18,4568,6398,Flagler
19,97,249,Franklin
20,0,982,Gadsden
21,356,636,Gilchrist
22,123,575,Glades
23,19,275,Gulf
24,88,0,Hamilton
25,0,172,Hardee
26,695,1621,Hendry
27,6196,8877,Hernando
28,1452,2681,Highlands
29,54487,86598,Hillsborough
30,147,212,Holmes
31,6100,7010,Indian River
32,0,723,Jackson
33,149,262,Jefferson
34,11,0,Lafayette
35,18001,16780,Lake
36,34259,43850,Lee
37,5614,14711,Leon
38,469,926,Levy
39,178,143,Liberty
40,111,0,Madison
41,19287,17927,Manatee
42,9394,13446,Marion
43,3975,12423,Martin
44,0,982,Monroe
45,3941,5001,Nassau
46,4318,9304,Okaloosa
47,509,1573,Okeechobee
48,60043,145066,Orange
49,24271,24600,Osceola
50,39260,99449,Palm Beach
51,19062,22098,Pasco
52,17763,41503,Pinellas
53,25161,26996,Polk
54,137,1026,Putnam
55,16907,19393,St Johns
56,9919,14521,St Lucie
57,7366,6636,Santa Rosa
58,18153,21196,Sarasota
59,13750,37682,Seminole
60,8492,7487,Sumter
61,536,1234,Suwannee
62,27,227,Taylor
63,48,267,Union
64,14218,22282,Volusia
65,520,758,Wakulla
66,4523,8123,Walton
67,187,873,Washington
