"TAZ","growthCenter","areaType","housingDensityConstraint","employmentDensityConstraint"
1,8,1,5,10
2,8,2,15,25
3,8,2,15,25
4,8,2,15,25
5,8,2,15,25
6,8,1,5,10
7,8,2,15,25
8,8,2,15,25
9,8,1,5,10
10,8,2,15,25
11,8,2,15,25
12,8,3,10,15
13,8,2,15,25
14,8,1,5,10
15,8,3,10,15
16,8,2,15,25
17,8,1,5,10
18,8,2,15,25
19,8,2,15,25
20,8,2,15,25
21,8,3,10,15
22,8,2,15,25
23,8,2,15,25
24,8,2,15,25
25,8,2,15,25
26,8,2,15,25
27,8,2,15,25
28,8,2,15,25
29,8,2,15,25
30,8,2,15,25
31,8,2,15,25
32,8,1,5,10
33,8,1,5,10
34,8,2,15,25
35,8,2,15,25
36,8,2,15,25
37,8,2,15,25
38,8,1,5,10
39,8,2,15,25
40,8,2,15,25
41,8,2,15,25
42,8,2,15,25
43,8,2,15,25
44,8,2,15,25
45,8,1,5,10
46,8,2,15,25
47,8,2,15,25
48,8,2,15,25
49,8,3,10,15
50,8,2,15,25
51,8,2,15,25
52,8,2,15,25
53,8,2,15,25
54,8,2,15,25
55,8,2,15,25
56,8,1,5,10
57,8,2,15,25
58,8,2,15,25
59,8,2,15,25
60,8,3,10,15
61,8,2,15,25
62,8,1,5,10
63,8,2,15,25
64,8,3,10,15
65,8,1,5,10
66,8,2,15,25
67,8,2,15,25
68,11,1,5,15
69,11,2,20,35
70,11,1,5,15
71,11,2,20,35
72,11,1,5,15
73,11,2,20,35
74,11,2,20,35
75,11,2,20,35
76,11,2,20,35
77,11,2,20,35
78,11,2,20,35
79,11,2,20,35
80,11,2,20,35
81,11,2,20,35
82,11,2,20,35
83,11,2,20,35
84,11,1,5,15
85,11,2,20,35
86,11,2,20,35
87,11,1,5,15
88,11,2,20,35
89,11,2,20,35
90,11,2,20,35
91,11,2,20,35
92,11,2,20,35
93,11,2,20,35
94,11,2,20,35
95,11,2,20,35
96,11,2,20,35
97,11,2,20,35
98,11,2,20,35
99,11,2,20,35
100,11,2,20,35
101,11,2,20,35
102,11,2,20,35
103,11,2,20,35
104,11,2,20,35
105,11,2,20,35
106,11,2,20,35
107,11,2,20,35
108,11,2,20,35
109,11,3,10,25
110,11,2,20,35
111,11,2,20,35
112,11,2,20,35
113,11,2,20,35
114,11,2,20,35
115,11,3,10,25
116,11,1,5,15
117,11,1,5,15
118,11,2,20,35
119,11,1,5,15
120,11,1,5,15
121,11,3,10,25
122,11,3,10,25
123,11,1,5,15
124,11,3,10,25
125,11,3,10,25
126,11,1,5,15
127,11,1,5,15
128,11,1,5,15
129,11,1,5,15
130,11,2,20,35
131,11,2,20,35
132,11,2,20,35
133,11,2,20,35
134,11,2,20,35
135,11,2,20,35
136,11,2,20,35
137,11,2,20,35
138,11,2,20,35
139,11,2,20,35
140,11,2,20,35
141,11,2,20,35
142,11,2,20,35
143,11,2,20,35
144,11,2,20,35
145,11,2,20,35
146,11,2,20,35
147,11,2,20,35
148,11,2,20,35
149,11,2,20,35
150,11,2,20,35
151,11,2,20,35
152,11,2,20,35
153,11,2,20,35
154,11,2,20,35
155,11,2,20,35
156,11,2,20,35
157,11,2,20,35
158,11,2,20,35
159,11,2,20,35
160,11,2,20,35
161,11,2,20,35
162,11,2,20,35
163,11,2,20,35
164,14,1,5,10
165,14,1,5,10
166,14,1,5,10
167,14,1,5,10
168,14,1,5,10
169,14,1,5,10
170,14,1,5,10
171,14,2,15,25
172,14,2,15,25
173,14,2,15,25
174,14,2,15,25
175,14,1,5,10
176,14,2,15,25
177,14,1,5,10
178,14,1,5,10
179,14,1,5,10
180,14,1,5,10
181,22,1,5,10
182,22,1,5,10
183,22,1,5,10
184,22,1,5,10
185,22,1,5,10
186,22,1,5,10
187,22,1,5,10
188,22,1,5,10
189,22,1,5,10
190,22,1,5,10
191,25,1,5,10
192,25,1,5,10
193,25,1,5,10
194,25,1,5,10
195,25,1,5,10
196,25,1,5,10
197,25,1,5,10
198,25,1,5,10
199,25,1,5,10
200,25,1,5,10
201,25,1,5,10
202,25,1,5,10
203,26,1,5,10
204,26,1,5,10
205,26,1,5,10
206,26,1,5,10
207,26,1,5,10
208,26,1,5,10
209,26,2,15,25
210,26,2,15,25
211,26,1,5,10
212,26,1,5,10
213,26,1,5,10
214,26,1,5,10
215,26,2,15,25
216,26,1,5,10
217,26,1,5,10
218,28,1,5,10
219,28,1,5,10
220,28,1,5,10
221,28,1,5,10
222,28,3,10,15
223,28,1,5,10
224,28,2,15,25
225,28,2,15,25
226,28,1,5,10
227,28,1,5,10
228,28,1,5,10
229,28,1,5,10
230,28,1,5,10
231,28,1,5,10
232,28,2,15,25
233,28,2,15,25
234,28,1,5,10
235,28,2,15,25
236,28,1,5,10
237,28,3,10,15
238,28,2,15,25
239,28,2,15,25
240,28,1,5,10
241,28,1,5,10
242,28,1,5,10
243,28,2,15,25
244,36,2,20,35
245,36,2,20,35
246,36,2,20,35
247,36,2,20,35
248,36,2,20,35
249,36,2,20,35
250,36,3,10,25
251,36,2,20,35
252,36,2,20,35
253,36,2,20,35
254,36,2,20,35
255,36,2,20,35
256,36,2,20,35
257,36,2,20,35
258,36,2,20,35
259,36,2,20,35
260,36,2,20,35
261,36,2,20,35
262,36,2,20,35
263,36,2,20,35
264,36,2,20,35
265,36,2,20,35
266,36,3,10,25
267,36,3,10,25
268,36,2,20,35
269,36,2,20,35
270,36,2,20,35
271,36,1,5,15
272,36,2,20,35
273,36,2,20,35
274,36,2,20,35
275,36,2,20,35
276,36,3,10,25
277,36,1,5,15
278,36,2,20,35
279,36,2,20,35
280,36,2,20,35
281,36,2,20,35
282,36,1,5,15
283,36,2,20,35
284,36,2,20,35
285,36,2,20,35
286,36,2,20,35
287,36,1,5,15
288,36,2,20,35
289,36,2,20,35
290,36,1,5,15
291,36,3,10,25
292,36,2,20,35
293,36,2,20,35
294,36,2,20,35
295,36,2,20,35
296,36,2,20,35
297,36,3,10,25
298,36,2,20,35
299,36,2,20,35
300,36,2,20,35
301,36,2,20,35
302,36,2,20,35
303,36,2,20,35
304,36,2,20,35
305,36,2,20,35
306,36,2,20,35
307,36,2,20,35
308,36,2,20,35
309,36,2,20,35
310,36,2,20,35
311,36,2,20,35
312,36,1,5,15
313,36,2,20,35
314,36,2,20,35
315,36,2,20,35
316,36,2,20,35
317,36,2,20,35
318,36,2,20,35
319,36,2,20,35
320,36,2,20,35
321,36,2,20,35
322,36,2,20,35
323,36,2,20,35
324,36,2,20,35
325,36,2,20,35
326,36,2,20,35
327,36,2,20,35
328,36,2,20,35
329,36,2,20,35
330,36,2,20,35
331,36,2,20,35
332,36,2,20,35
333,36,2,20,35
334,36,2,20,35
335,36,2,20,35
336,36,2,20,35
337,36,2,20,35
338,36,2,20,35
339,36,2,20,35
340,36,2,20,35
341,36,2,20,35
342,36,2,20,35
343,36,2,20,35
344,36,2,20,35
345,36,2,20,35
346,36,2,20,35
347,36,2,20,35
348,36,3,10,25
349,36,2,20,35
350,36,2,20,35
351,36,2,20,35
352,36,1,5,15
353,36,1,5,15
354,36,1,5,15
355,36,1,5,15
356,36,2,20,35
357,36,2,20,35
358,36,2,20,35
359,36,1,5,15
360,36,1,5,15
361,36,2,20,35
362,36,1,5,15
363,36,2,20,35
364,36,2,20,35
365,36,2,20,35
366,36,3,10,25
367,36,3,10,25
368,36,1,5,15
369,36,1,5,15
370,36,1,5,15
371,36,1,5,15
372,36,1,5,15
373,36,2,20,35
374,36,1,5,15
375,36,1,5,15
376,36,2,20,35
377,36,2,20,35
378,36,2,20,35
379,36,2,20,35
380,36,2,20,35
381,36,2,20,35
382,36,2,20,35
383,36,2,20,35
384,36,2,20,35
385,36,2,20,35
386,36,2,20,35
387,36,2,20,35
388,36,2,20,35
