N,X,Y
1,398029,2963379
2,373434,2964970
3,372849,2965314
4,374355,2968350
5,371433,2970576
6,402993,2970102
7,369021,2973136
8,401266,2972967
9,399544,2970503
10,400362,2974581
11,399443,2974433
12,402335,2974732
13,368780,2972942
14,396900,2973892
15,373553,2972426
16,398770,2975583
17,379149,2974676
18,394717,2977761
19,392538,2977892
20,396312,2977891
21,375865,2978104
22,395832,2979465
23,365236,2979233
24,395694,2979636
25,395043,2979118
26,395537,2979815
27,398185,2978711
28,371031,2977752
29,397952,2980164
30,396678,2980266
31,367887,2977364
32,433513,2971282
33,403895,2977930
34,365924,2980771
35,364732,2980041
36,365152,2978256
37,397800,2981084
38,382994,2974182
39,377296,2980260
40,393043,2982392
41,389305,2983737
42,395369,2983042
43,401865,2982814
44,390266,2984308
45,408418,2985088
46,392797,2985356
47,374430,2980389
48,398305,2986368
49,384069,2982820
50,387269,2985704
51,396015,2987938
52,385044,2988449
53,389774,2988363
54,395735,2989046
55,396096,2990057
56,431772,2985015
57,393448,2988831
58,400117,2988739
59,388877,2990216
60,381931,2988386
61,385958,2989887
62,413463,2985327
63,383076,2989870
64,378206,2987949
65,403760,2987443
66,395864,2985202
67,396001,2986630
68,499794,2856669
69,429182,2869820
70,462911,2860014
71,428773,2874528
72,433201,2876791
73,428813,2885948
74,427271,2887376
75,430653,2886852
76,422885,2890734
77,424280,2890048
78,425930,2889936
79,422005,2888908
80,421132,2891348
81,425511,2891824
82,428808,2892214
83,420022,2892353
84,443451,2884867
85,429034,2893438
86,422487,2892348
87,473505,2872769
88,420500,2893217
89,421451,2893409
90,427687,2894572
91,424224,2893996
92,420053,2890688
93,430019,2894951
94,429528,2898670
95,429712,2901010
96,426118,2901193
97,427282,2901149
98,422372,2902356
99,420760,2901856
100,423920,2904609
101,429560,2904518
102,418809,2905046
103,425704,2904383
104,427232,2904532
105,435882,2903818
106,419128,2906530
107,417543,2906821
108,418182,2908082
109,442618,2904523
110,418958,2909180
111,422386,2908428
112,425303,2908981
113,417234,2910816
114,415829,2912074
115,443168,2912844
116,451397,2912164
117,472403,2903138
118,457551,2922948
119,453538,2931747
120,462591,2896378
121,433887,2899118
122,443325,2897401
123,454656,2901712
124,432778,2908093
125,435733,2909729
126,443539,2918225
127,454630,2920503
128,458474,2925240
129,461778,2924562
130,428527,2867473
131,426195,2871078
132,427168,2882574
133,425791,2885126
134,427364,2890211
135,428905,2889704
136,426145,2894014
137,419450,2894228
138,425767,2894741
139,419702,2894750
140,419305,2897374
141,418781,2901670
142,422523,2896437
143,422167,2897458
144,427090,2896705
145,430523,2897138
146,429067,2896907
147,427191,2898458
148,425732,2896144
149,425983,2897871
150,420433,2896193
151,420438,2897451
152,424041,2896220
153,424119,2898492
154,424152,2901007
155,424060,2902338
156,422394,2900229
157,421744,2901303
158,422008,2903700
159,422230,2905025
160,420697,2904128
161,420650,2905278
162,426572,2907273
163,429374,2908342
164,403009,2992994
165,399915,2993444
166,405388,3000248
167,414666,2996554
168,397004,2993957
169,423863,3003664
170,415732,3006968
171,414768,3010306
172,415353,3010374
173,414896,3010594
174,414328,3010787
175,409838,3007510
176,415033,3010978
177,407218,3011360
178,408573,3016710
179,431107,3017449
180,414025,3016507
181,472248,2962516
182,490495,2964524
183,486352,2966208
184,470446,2970462
185,497520,2962787
186,453888,2972179
187,458763,2985101
188,510502,3000763
189,479500,2991166
190,500969,3002158
191,402665,3033370
192,430398,3031892
193,414030,3033457
194,420358,3043930
195,417281,3044245
196,420175,3045909
197,423007,3045487
198,419875,3047561
199,434566,3042758
200,408043,3047362
201,429872,3056076
202,409821,3055040
203,494533,2909750
204,444543,2932800
205,459270,2935082
206,451097,2945643
207,507878,2933315
208,499847,2949704
209,455747,2959194
210,459295,2959088
211,466946,2955970
212,509881,2959468
213,451895,2957021
214,458319,2960499
215,456675,2961984
216,455003,2961822
217,500372,2960083
218,472500,3003851
219,459146,3001712
220,489701,3010321
221,498150,3011222
222,468632,3011916
223,466189,3011819
224,467033,3017882
225,461974,3019177
226,496910,3017998
227,454724,3017167
228,482586,3019592
229,456784,3024970
230,464770,3026698
231,452540,3035729
232,458661,3038194
233,455981,3042804
234,449798,3041140
235,453541,3042546
236,463555,3040690
237,447156,3045967
238,453239,3047086
239,450255,3049490
240,446198,3050310
241,462724,3051104
242,453168,3055549
243,447202,3054885
244,419046,2911800
245,421552,2911719
246,424633,2911852
247,424554,2913400
248,425535,2913396
249,423094,2913372
250,428256,2913046
251,420902,2913382
252,414051,2916155
253,414888,2916234
254,414130,2916913
255,420544,2915209
256,413487,2919742
257,412351,2919422
258,412687,2919820
259,412558,2920932
260,422751,2921707
261,408597,2924260
262,404590,2926194
263,405837,2926867
264,404807,2927666
265,416357,2923374
266,421999,2925593
267,424425,2927741
268,404687,2929911
269,420069,2928329
270,400722,2930610
271,394820,2926407
272,415671,2930708
273,404963,2931614
274,406225,2933297
275,407625,2932403
276,424596,2933968
277,391831,2930930
278,412483,2935816
279,415382,2935587
280,424839,2936149
281,424264,2936228
282,381678,2931817
283,404053,2933851
284,404799,2937595
285,402244,2937484
286,414042,2937496
287,437714,2929354
288,418836,2937937
289,415767,2937515
290,390627,2935535
291,424870,2934942
292,412694,2941302
293,413568,2941886
294,409937,2939261
295,414195,2939831
296,415332,2939808
297,442010,2936896
298,403848,2942131
299,404105,2940239
300,426365,2940720
301,405644,2941472
302,401251,2940561
303,417276,2940872
304,419335,2940204
305,421153,2941240
306,435473,2943538
307,430717,2941920
308,434294,2941554
309,423447,2940124
310,427091,2943665
311,407348,2944263
312,390751,2940081
313,393527,2945653
314,393481,2945527
315,393633,2945896
316,393510,2946108
317,421447,2944762
318,419596,2945455
319,392924,2946349
320,412595,2944042
321,413719,2946490
322,427013,2945670
323,414495,2946557
324,437775,2945230
325,413181,2947098
326,433736,2945826
327,413294,2947058
328,411711,2944902
329,413789,2947100
330,413583,2947295
331,414178,2947310
332,414568,2947350
333,414063,2947595
334,413426,2947574
335,413913,2947778
336,401543,2945171
337,414588,2947771
338,419725,2947572
339,412122,2949576
340,407275,2948748
341,419779,2949438
342,420792,2949530
343,416849,2948150
344,424197,2948324
345,411468,2950808
346,419669,2950729
347,409199,2950636
348,398051,2949660
349,403010,2949924
350,405456,2952328
351,417440,2950393
352,387566,2945318
353,387938,2950006
354,441912,2945805
355,384426,2954225
356,424449,2952088
357,403938,2953903
358,410966,2952617
359,436243,2951301
360,431155,2951828
361,421744,2952839
362,437716,2954924
363,421893,2954743
364,426895,2955018
365,413076,2954472
366,406001,2957298
367,407673,2957025
368,417877,2957974
369,434426,2958172
370,422042,2957900
371,411802,2959006
372,394831,2948950
373,374342,2960379
374,426443,2919210
375,432058,2922543
376,417405,2915449
377,418376,2917706
378,421194,2918091
379,420517,2921429
380,415116,2929289
381,416399,2931215
382,415460,2931397
383,408415,2929207
384,409496,2930878
385,413469,2931534
386,414340,2933760
387,413910,2935175
388,414179,2935776
389,407353,2933846
390,409561,2934965
391,411076,2935090
392,409938,2937046
393,411318,2937169
394,412519,2937087
395,412554,2937410
396,412560,2938244
397,411026,2939232
398,412585,2939168
399,411436,2940682
400,417270,2944052
401,417628,2945758
402,415870,2943879
403,415637,2945644
404,413733,2942507
405,414715,2942636
406,414681,2943466
407,413703,2944014
408,438101,2936622
409,435103,2938289
410,436551,2940402
411,438603,2940893
412,430326,2945303
413,429817,2947559
414,395101,2924346
415,385758,2926408
416,398170,2939082
417,398338,2941732
418,406687,2938638
419,406903,2940634
420,407764,2942233
421,407231,2942895
422,404000,2944677
423,404298,2944571
424,405479,2945833
425,405253,2944688
426,407784,2945386
427,405768,2948808
428,404543,2947528
429,410197,2947594
430,407557,2951100
431,408620,2953983
432,413066,2950698
433,416893,2953521
434,399038,2952783
435,401732,2957986
436,398782,2944460
437,398060,2945801
438,418528,2934558
439,419562,2931826
440,421052,2935838
441,421239,2931586
442,381741,3014969
443,392528,3015728
444,352980,3032177
445,350541,3033805
446,349216,3034160
447,360505,3032574
448,345612,3033376
449,343598,3033656
450,345721,3035625
451,333957,3035516
452,333097,3035964
453,353512,3035221
454,349854,3035984
455,345647,3036585
456,343563,3036093
457,345588,3037926
458,343758,3037993
459,332313,3039130
460,384502,3033270
461,372790,3034931
462,367656,3037134
463,372714,3039547
464,347775,3038298
465,350029,3038800
466,344888,3039632
467,346321,3039722
468,349923,3040526
469,351730,3038206
470,360263,3038449
471,339204,3039768
472,344972,3041253
473,346154,3042179
474,345114,3042200
475,346437,3041522
476,344525,3042235
477,348606,3041264
478,340728,3041361
479,339009,3041776
480,335824,3039514
481,335609,3042332
482,334262,3042154
483,353869,3039450
484,331747,3041004
485,345151,3042532
486,347461,3042652
487,342410,3042910
488,333885,3043167
489,352430,3042889
490,345132,3044625
491,351617,3044716
492,358026,3044398
493,346374,3045586
494,348094,3045522
495,347695,3044789
496,343291,3045530
497,345202,3045929
498,340649,3045848
499,330111,3044351
500,351888,3047121
501,349807,3046502
502,348039,3047052
503,364025,3041456
504,343868,3046727
505,352655,3049240
506,359160,3046946
507,349727,3049995
508,346594,3050996
509,349674,3051461
510,347932,3049682
511,343140,3051112
512,382474,3045530
513,355421,3051663
514,350026,3053142
515,348739,3053078
516,350154,3055204
517,392070,3053140
518,389428,3055248
519,374937,3055476
520,358145,3055629
521,349330,3057254
522,347188,3055751
523,381480,3022913
524,357313,3030956
525,362554,3030913
526,357105,3033491
527,357363,3036921
528,357040,3039484
529,350753,3031428
530,349617,3031308
531,347881,3031364
532,347730,3032894
533,347774,3035684
534,347817,3036574
535,343785,3040010
536,342308,3040244
537,343789,3041725
538,342355,3041740
539,339219,3043328
540,337859,3044890
541,341831,3037807
542,339486,3037950
543,341574,3035972
544,337065,3037530
545,513052,3001981
546,527467,3006392
547,519237,3009214
548,511905,3008706
549,515703,3011568
550,519211,3011678
551,515582,3015326
552,524992,3012610
553,512040,3015228
554,523761,3021753
555,510735,3029382
556,523969,3043518
557,500919,3046800
558,519567,3052733
559,397242,3063460
560,409430,3063222
561,432159,3063323
562,445936,3066836
563,465882,3066121
564,423026,3073398
565,445772,3074457
566,398993,3072007
567,416102,3076676
568,462407,3077423
569,445364,3081597
570,452850,3077578
571,442040,3082970
572,416994,3085140
573,408090,3077824
574,418697,3086324
575,417261,3086393
576,422042,3083127
577,432906,3086906
578,443716,3087032
579,432860,3078045
580,441546,3087156
581,417714,3088700
582,399685,3085008
583,402141,3088706
584,410959,3089366
585,405469,3091575
586,398295,3091110
587,440371,3091492
588,444158,3090604
589,407121,3093490
590,403575,3092734
591,400023,3094134
592,436629,3094004
593,439896,3094225
594,396939,3094958
595,426564,3093840
596,407584,3095922
597,405091,3095911
598,402339,3095855
599,410857,3094199
600,401979,3097318
601,430271,3096414
602,426289,3096922
603,424188,3096430
604,400322,3097641
605,413290,3097794
606,407394,3097952
607,410317,3098151
608,409410,3098923
609,418048,3098792
610,404999,3098614
611,440216,3097544
612,435067,3097312
613,428745,3098853
614,431642,3098774
615,410190,3099612
616,428070,3100021
617,405033,3100072
618,428080,3100472
619,427030,3098876
620,397532,3098742
621,398898,3100462
622,397011,3101286
623,407664,3100036
624,443726,3098424
625,402078,3099335
626,428305,3101470
627,430344,3101260
628,403489,3101381
629,407354,3102208
630,404829,3101866
631,405189,3101201
632,426320,3101964
633,406600,3101654
634,405149,3102532
635,398747,3101672
636,406461,3102805
637,406066,3102652
638,409683,3101938
639,405644,3102734
640,405380,3102924
641,422064,3099990
642,413396,3100854
643,407973,3103209
644,406073,3103286
645,405721,3103350
646,403634,3102983
647,406963,3103078
648,405202,3103344
649,401233,3102498
650,419094,3102152
651,423632,3102729
652,405170,3104153
653,402847,3104440
