TAZ,housingDensityConstraint,employmentDensityConstraint
1,1.097,7.177
2,2.275,12.85
3,2.275,12.85
4,2.275,12.85
5,2.275,12.85
6,1.097,7.177
7,2.275,12.85
8,2.275,12.85
9,1.097,7.177
10,2.275,12.85
11,2.275,12.85
12,2.485,3.538
13,2.275,12.85
14,1.097,7.177
15,2.485,3.538
16,2.275,12.85
17,1.097,7.177
18,2.275,12.85
19,1.097,7.177
20,2.275,12.85
21,2.485,3.538
22,2.275,12.85
23,2.275,12.85
24,2.275,12.85
25,1.097,7.177
26,2.275,12.85
27,2.275,12.85
28,2.275,12.85
29,2.275,12.85
30,2.275,12.85
31,2.275,12.85
32,1.097,7.177
33,1.097,7.177
34,2.275,12.85
35,2.275,12.85
36,2.275,12.85
37,2.275,12.85
38,1.097,7.177
39,2.275,12.85
40,2.275,12.85
41,2.275,12.85
42,2.275,12.85
43,2.275,12.85
44,2.275,12.85
45,1.097,7.177
46,2.275,12.85
47,2.275,12.85
48,2.275,12.85
49,2.485,3.538
50,2.275,12.85
51,2.275,12.85
52,2.275,12.85
53,2.275,12.85
54,2.275,12.85
55,2.275,12.85
56,1.097,7.177
57,2.275,12.85
58,2.275,12.85
59,2.275,12.85
60,2.485,3.538
61,2.275,12.85
62,1.097,7.177
63,2.275,12.85
64,2.485,3.538
65,1.097,7.177
66,2.275,12.85
67,2.275,12.85
68,1.368,11.183
69,3.932,12.96
70,1.368,11.183
71,3.932,12.96
72,1.368,11.183
73,3.932,12.96
74,3.932,12.96
75,3.932,12.96
76,3.932,12.96
77,3.932,12.96
78,3.932,12.96
79,3.932,12.96
80,3.932,12.96
81,3.932,12.96
82,3.932,12.96
83,3.932,12.96
84,1.368,11.183
85,3.932,12.96
86,3.932,12.96
87,1.368,11.183
88,3.932,12.96
89,3.932,12.96
90,3.932,12.96
91,3.932,12.96
92,3.932,12.96
93,3.932,12.96
94,3.932,12.96
95,3.932,12.96
96,3.932,12.96
97,3.932,12.96
98,3.932,12.96
99,3.932,12.96
100,3.932,12.96
101,3.932,12.96
102,3.932,12.96
103,3.932,12.96
104,3.932,12.96
105,3.932,12.96
106,3.932,12.96
107,3.932,12.96
108,3.932,12.96
109,1.368,11.183
110,3.932,12.96
111,3.932,12.96
112,3.932,12.96
113,3.932,12.96
114,3.932,12.96
115,1.368,11.183
116,1.368,11.183
117,1.368,11.183
118,3.932,12.96
119,1.368,11.183
120,1.368,11.183
121,1.368,11.183
122,1.368,11.183
123,1.368,11.183
124,1.368,11.183
125,1.368,11.183
126,1.368,11.183
127,1.368,11.183
128,1.368,11.183
129,1.368,11.183
130,3.932,12.96
131,3.932,12.96
132,3.932,12.96
133,3.932,12.96
134,3.932,12.96
135,3.932,12.96
136,3.932,12.96
137,3.932,12.96
138,3.932,12.96
139,3.932,12.96
140,3.932,12.96
141,3.932,12.96
142,3.932,12.96
143,3.932,12.96
144,3.932,12.96
145,3.932,12.96
146,3.932,12.96
147,3.932,12.96
148,3.932,12.96
149,3.932,12.96
150,3.932,12.96
151,3.932,12.96
152,3.932,12.96
153,3.932,12.96
154,3.932,12.96
155,3.932,12.96
156,3.932,12.96
157,3.932,12.96
158,3.932,12.96
159,3.932,12.96
160,3.932,12.96
161,3.932,12.96
162,1.368,11.183
163,1.368,11.183
164,1.292,13.069
165,1.292,13.069
166,1.292,13.069
167,1.292,13.069
168,1.292,13.069
169,1.292,13.069
170,1.292,13.069
171,1.292,13.069
172,1.292,13.069
173,1.292,13.069
174,1.292,13.069
175,1.292,13.069
176,1.292,13.069
177,1.292,13.069
178,1.292,13.069
179,1.292,13.069
180,1.292,13.069
181,1.363,4.432
182,1.363,4.432
183,1.363,4.432
184,1.363,4.432
185,1.363,4.432
186,1.363,4.432
187,1.363,4.432
188,1.363,4.432
189,1.363,4.432
190,1.363,4.432
191,1.565,8.629
192,1.565,8.629
193,1.565,8.629
194,1.565,8.629
195,1.565,8.629
196,1.565,8.629
197,1.565,8.629
198,1.565,8.629
199,1.565,8.629
200,1.565,8.629
201,1.565,8.629
202,1.565,8.629
203,0.618,8.36
204,0.618,8.36
205,0.618,8.36
206,0.618,8.36
207,0.618,8.36
208,0.618,8.36
209,2.097,8.037
210,2.097,8.037
211,0.618,8.36
212,0,0
213,0.618,8.36
214,0.618,8.36
215,2.097,8.037
216,0.618,8.36
217,0.618,8.36
218,1.323,2.938
219,1.323,2.938
220,1.323,2.938
221,1.323,2.938
222,3.09,0.55
223,1.323,2.938
224,3.174,6.206
225,3.174,6.206
226,1.323,2.938
227,1.323,2.938
228,1.323,2.938
229,1.323,2.938
230,1.323,2.938
231,1.323,2.938
232,3.174,6.206
233,3.174,6.206
234,1.323,2.938
235,3.174,6.206
236,1.323,2.938
237,3.09,0.55
238,3.174,6.206
239,3.174,6.206
240,1.323,2.938
241,1.323,2.938
242,1.323,2.938
243,3.174,6.206
244,5.892,25.482
245,5.892,25.482
246,5.892,25.482
247,5.892,25.482
248,5.892,25.482
249,5.892,25.482
250,2.667,10.561
251,5.892,25.482
252,5.892,25.482
253,5.892,25.482
254,5.892,25.482
255,5.892,25.482
256,5.892,25.482
257,5.892,25.482
258,5.892,25.482
259,5.892,25.482
260,5.892,25.482
261,5.892,25.482
262,5.892,25.482
263,5.892,25.482
264,5.892,25.482
265,5.892,25.482
266,2.667,10.561
267,2.667,10.561
268,5.892,25.482
269,5.892,25.482
270,5.892,25.482
271,2.667,10.561
272,5.892,25.482
273,5.892,25.482
274,5.892,25.482
275,5.892,25.482
276,2.667,10.561
277,2.667,10.561
278,5.892,25.482
279,5.892,25.482
280,5.892,25.482
281,5.892,25.482
282,2.667,10.561
283,5.892,25.482
284,5.892,25.482
285,5.892,25.482
286,5.892,25.482
287,2.667,10.561
288,5.892,25.482
289,5.892,25.482
290,2.667,10.561
291,2.667,10.561
292,5.892,25.482
293,5.892,25.482
294,5.892,25.482
295,5.892,25.482
296,5.892,25.482
297,2.667,10.561
298,5.892,25.482
299,5.892,25.482
300,5.892,25.482
301,5.892,25.482
302,5.892,25.482
303,5.892,25.482
304,5.892,25.482
305,5.892,25.482
306,5.892,25.482
307,5.892,25.482
308,5.892,25.482
